,名字,易數
0,Maison,134
1,Masen,134
2,Mason,134
3,Naseem,134
4,Samson,134
5,Shimon,134
6,Shyheim,134
7,Simeon,134
8,Simon,134
9,Benjamin,1348
10,Damion,1348
11,Desmond,1348
12,Dominic,1348
13,Dominick,1348
14,Dominik,1348
15,Jackson,1348
16,Jameson,1348
17,Jamin,1348
18,Jamison,1348
19,Osman,1348
20,Madden,34
21,Menachem,34
22,Nehemiah,34
23,Niam,34
24,Nick,34
25,Nico,34
26,Noam,34
27,Mac,3
28,Mack,3
29,Makai,3
30,Makhi,3
31,Mekhi,3
32,Micah,3
33,Micaiah,3
34,Mickey,3
35,Mohamad,3
36,Mohamed,3
37,Mohammad,3
38,Mohammed,3
39,Najee,4
40,Ned,4
41,Neo,4
42,Noah,4
43,Noe,4
44,Said,1
45,Seth,1
46,Shad,1
47,Shia,1
48,Zaid,1
49,Zeke,1
50,Zev,1
