,名字,易數
0,Maddison,134
1,Madisen,134
2,Madison,134
3,Mina,134
4,Mindi,134
5,Minnie,134
6,Monika,134
7,Naima,134
8,Samone,134
9,Simone,134
10,Amina,1348
11,Aminah,1348
12,Cinnamon,1348
13,Dominga,1348
14,Iman,1348
15,Imani,1348
16,Imogen,1348
17,Imogene,1348
18,Jasmin,1348
19,Jasmine,1348
20,Jimena,1348
21,Kensington,1348
22,Kimani,1348
23,Yasmeen,1348
24,Yasmin,1348
25,Yasmine,1348
26,Mackenna,34
27,Madonna,34
28,Maegan,34
29,Magan,34
30,Magen,34
31,Makena,34
32,Makenna,34
33,Manda,34
34,Mandi,34
35,Mandie,34
36,Mckenna,34
37,Meagan,34
38,Meaghan,34
39,Megan,34
40,Meggan,34
41,Meghan,34
42,Meghann,34
43,Mona,34
44,Monae,34
45,Monet,34
46,Monica,34
47,Naomi,34
48,Nechama,34
49,Neoma,34
50,Nicki,34
51,Nickie,34
52,Noemi,34
53,Macey,3
54,Maci,3
55,Macie,3
56,Maddie,3
57,Madge,3
58,Madie,3
59,Mae,3
60,Maeve,3
61,Maggie,3
62,Mahi,3
63,Mai,3
64,Maia,3
65,Makiah,3
66,Mamie,3
67,Mea,3
68,Meah,3
69,Meg,3
70,Meta,3
71,Mia,3
72,Miah,3
73,Mica,3
74,Mickie,3
75,Nadia,4
76,Naja,4
77,Najah,4
78,Nakia,4
79,Nan,4
80,Nanci,4
81,Nancie,4
82,Nanette,4
83,Nannette,4
84,Nannie,4
85,Neha,4
86,Neida,4
87,Nena,4
88,Nettie,4
89,Neva,4
90,Nevaeh,4
91,Nevaeha,4
92,Neveah,4
93,Nia,4
94,Noa,4
95,Nona,4
96,Sacha,1
97,Sade,1
98,Sadie,1
99,Sage,1
100,Saige,1
101,Sasha,1
102,Shae,1
103,Shakia,1
104,Shea,1
105,Sofia,1
106,Sofie,1
107,Zaida,1
108,Zia,1
