,名字,易數
0,Maddison,134
1,Madisen,134
2,Madison,134
3,Mina,134
4,Mindi,134
5,Minnie,134
6,Monika,134
7,Naima,134
8,Samone,134
9,Simone,134
10,Mackenna,34
11,Madonna,34
12,Maegan,34
13,Magan,34
14,Magen,34
15,Makena,34
16,Makenna,34
17,Manda,34
18,Mandi,34
19,Mandie,34
20,Mckenna,34
21,Meagan,34
22,Meaghan,34
23,Megan,34
24,Meggan,34
25,Meghan,34
26,Meghann,34
27,Mona,34
28,Monae,34
29,Monet,34
30,Monica,34
31,Naomi,34
32,Nechama,34
33,Neoma,34
34,Nicki,34
35,Nickie,34
36,Noemi,34
37,Macey,3
38,Maci,3
39,Macie,3
40,Maddie,3
41,Madge,3
42,Madie,3
43,Mae,3
44,Maeve,3
45,Maggie,3
46,Mahi,3
47,Mai,3
48,Maia,3
49,Makiah,3
50,Mamie,3
51,Mea,3
52,Meah,3
53,Meg,3
54,Meta,3
55,Mia,3
56,Miah,3
57,Mica,3
58,Mickie,3
59,Nadia,4
60,Naja,4
61,Najah,4
62,Nakia,4
63,Nan,4
64,Nanci,4
65,Nancie,4
66,Nanette,4
67,Nannette,4
68,Nannie,4
69,Neha,4
70,Neida,4
71,Nena,4
72,Nettie,4
73,Neva,4
74,Nevaeh,4
75,Nevaeha,4
76,Neveah,4
77,Nia,4
78,Noa,4
79,Nona,4
80,Sacha,1
81,Sade,1
82,Sadie,1
83,Sage,1
84,Saige,1
85,Sasha,1
86,Shae,1
87,Shakia,1
88,Shea,1
89,Sofia,1
90,Sofie,1
91,Zaida,1
92,Zia,1
